Time,V_PW,V_RW,V_PGW,V_GW,V_BW,c_PW,c_RW,c_PGW,c_GW,c_BW,C_battery_charge,E_use_renewable,E_use_grid,Q_ROPW,Q_MBRGW,Q_MBRBW,Q_ROGWBW,c_infil,Q_infil,c_infil_avg,V_infil,Q_RW_infil,Q_GW_infil,Q_BW_infil,c_sewer,Q_sewer,c_sewer_avg,V_sewer,Q_RW_sewer,Q_GW_sewer,Q_BW_sewer,c_truck_avg,V_truck,Q_GW_empty,Q_BW_empty,n_GW_empty,n_BW_empty,Q_reuse,Q_refill,n_refill,Q_GW_prod,Q_BW_prod,Q_RW_out_all,Q_RW_use,Q_rain,Q_CW_use,Q_PW_use,Q_PGW_use,Water_balance,Pollutant_balance,Water_error,Pollutant_error
2014-01-01T17:43:13.449+01:00,0,2.25,1,0.049805460183042,0.0452108484121856,0,69.5184686567712,83.9146499162489,306.735793609656,174.544665119703,1.98114858338359,0.00418642371164075,0,0,0.00206227769046342,0,0,69.5184686567712,0.00655586399366805,69.6905298149309,0.0174775973926899,0.00655586399366805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185604992141708,0,0,0.0037587276113781,0.00125846410546074,0,0,0.00655586399366805,0.00316114179542174,0,0.00185604992141709,3.45860493022876e-16,-5.0265347439904e-14,-1.38777878078145e-17,-1.3988810110277e-14
2014-01-01T18:09:31.338+01:00,0,2.25,1,0.0518222739891253,0.04686902397747,0,69.473192392091,84.3844507136956,305.070532451939,174.186152966572,1.97582472771654,0.00479147010034596,0,0,0.00236033009869259,0,0,69.473192392091,0.00164912305136726,69.6717907867227,0.0191267204440572,0.00164912305136726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212429708882333,0,0,0.00437714390477596,0.00142214255541512,0,0,0.00164912305136726,0.00367498937136776,0,0.00212429708882332,3.5973828083069e-16,-6.18116668960056e-14,1.38777878078145e-17,-1.15463194561016e-14
2014-01-01T18:35:49.227+01:00,0,2.25,1,0.0541324709062244,0.0485740677016391,0,69.473192392091,84.9206771449893,303.999801714512,173.928138421954,1.96970550102401,0.00550730402327727,0,0,0.00271295764693461,0,0,0,0,69.6717907867227,0.0191267204440572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244166188224115,0,0,0.00502315456403369,0.00143374795947565,0,0,0,0.00401524064126818,0,0.00244166188224116,3.45860493022876e-16,-4.44921877118531e-14,-1.38777878078145e-17,1.73194791841524e-14
2014-01-01T19:02:07.116+01:00,0,2.25,1,0.0565735468422413,0.0502946665976514,0,69.473192392091,85.5041285816454,303.442313734547,173.769677160802,1.96301403483082,0.00602231957386574,0,0,0.00296665988860381,0,0,0,0,69.6717907867227,0.0191267204440572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266999389974343,0,0,0.00540773582462072,0.00142393290715199,0,0,0,0.00416167483202925,0,0.00266999389974347,3.18104917407247e-16,-6.4920291364956e-14,-2.77555756156289e-17,-2.04281036531029e-14
2014-01-01T19:28:25.005+01:00,0,2.25,1,0.0588724955904798,0.0519973748818013,0,69.473192392091,86.0609826706124,302.820010440787,173.614582247112,1.95659217287854,0.00577967575705127,0,0,0.00284713091480358,0,0,0,0,69.6717907867227,0.0191267204440572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256241782332323,0,0,0.00514607966304209,0.0014179951926695,0,0,0,0.00400165703238839,0,0.0025624178233232,3.45860493022876e-16,-5.7814864007355e-14,2.77555756156289e-17,7.105427357601e-15
2014-01-01T19:54:42.894+01:00,0,2.25,1,0.0608340215108911,0.0536740945004503,0,69.473192392091,86.5754200554884,302.122197146533,173.44399892879,1.95062502599968,0.00537043219097404,0,0,0.00264553309900199,0,0,0,0,69.6717907867227,0.0191267204440572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238097978910179,0,0,0.00460705901941331,0.00141216630874881,0,0,0,0.00363824553906031,0,0.00238097978910181,3.18104917407247e-16,-6.04793992664554e-14,-2.77555756156289e-17,-2.66453525910038e-15
2014-01-01T20:21:00.783+01:00,0,2.25,1,0.0625100082796525,0.0552110169234912,0,69.2757397286109,87.0315228102801,301.478303086463,173.360245074173,1.94530600784617,0.0047871163381573,0,0,0.00235818538825483,0,0,69.2757397286109,0.00721499237830223,69.5633124434591,0.0263417128223594,0.00721499237830223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212236684942935,0,0,0.00403417215701619,0.00130110388421542,0,0,0.00721499237830223,0.00321290919180231,0,0.0021223668494293,3.70146621686551e-16,-4.84889906005037e-14,5.20417042793042e-17,1.19904086659517e-14
2014-01-01T20:47:18.672+01:00,0,2.25,1,0.0639791282715304,0.0565208792434147,0,69.2376786637216,87.4188510684779,300.955404444618,173.431315506934,1.94076835850449,0.00408388440751501,0,0,0.00201176571798769,0,0,69.2376786637216,0.0013916253888749,69.5469725340005,0.0277333382112343,0.0013916253888749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181058914618892,0,0,0.00348088570986564,0.00110868574812471,0,0,0.0013916253888749,0.00277898231180147,0,0.00181058914618888,4.11779985109995e-16,-7.29138971422572e-14,4.16333634234434e-17,-2.44249065417534e-14
2014-01-01T21:13:36.561+01:00,0,2.25,1,0.0651950065356403,0.0577201247639113,0,69.0287225079439,87.7487144636136,300.344714918987,173.535494275446,1.93688581146823,0.00349429233263629,0,0,0.00172132627223462,0,0,69.0287225079439,0.00766608745908726,69.4347404864406,0.0353994256703216,0.00766608745908726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154919364501116,0,0,0.00293720453634447,0.00102711289327315,0,0,0.00766608745908726,0.00241512378460642,0,0.0015491936450112,3.80554962542412e-16,-1.11105569189363e-13,-3.12250225675825e-17,-3.81916720471054e-14
2014-01-01T21:39:54.450+01:00,0,2.25,1,0.0660852516587788,0.0589008720239234,0,68.2875877532088,88.0427864404976,299.658768169169,173.605752945968,1.93340794343677,0.00313008122830982,0,0,0.00154191193512799,0,0,68.2875877532088,0.027523016842104,68.9329623809424,0.0629224425124256,0.027523016842104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138772074161519,0,0,0.00243215705826645,0.0010265560664993,0,0,0.027523016842104,0.00207099238315058,0,0.00138772074161517,3.94432750350227e-16,-7.51343431915075e-14,1.38777878078145e-17,3.59712259978551e-14
