Time,Water_balance,Pollutant_balance,BW_V,BW_c,GW_V,GW_c,PGW_V,PGW_c,PW_V,PW_c,RW_V,RW_c,Q_MBRBW,Q_MBRGW,Q_ROGWBW,Q_ROPW,C_battery_charge,E_use_renewable,E_use_grid,Q_Infiltration,c_Infiltration,Q_Truck,c_Truck,Q_CityWater,Q_Roof,Q_BS,Q_BT,Q_CL,Q_DW,Q_GA,Q_KS,Q_SH,Q_TL,Q_WM,Q_RWPW_Treat,Q_CWPW_Fill,Q_RW_infil_Purge,Q_RW_infil_Infiltrate,Q_GW_infil_Treat,Q_BW_infil_Treat,Q_Purge_Purge,Q_Purge_Infiltrate,Q_GWPGW_emptyGW_Treat,Q_GWPGW_emptyGW_Treat,Q_GWPGW_refillPGW_Treat,Q_GWPGW_refillPGW_Treat,Q_BWPGW_Treat,Q_BWPGW_Treat,Q_RWPGW_Treat,Q_RainRefillControl_Tap,Q_GW_empty_Truck,Q_BW_empty_Truck
2015-01-01T11:30:00.000+01:00,4.3021142204224818e-16,2.973177259946169e-13,0.024514028986069939,150.02164186463259,0.08382152049788437,283.30307735666426,0.9145832565054465,69.99999999999975,0.9770811940105988,69.99999999999997,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.000391631599971879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018791204089298842,0.0001311680818721652,0.000060416668467223644,0.00006170206420123576,0.0,0.0004587414338439703,0.0006121177154034376,0.00032759681086521594,0.0006667874242737889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T11:45:00.000+01:00,4.579669976578771e-16,3.0109248427834245e-13,0.024877975588200247,150.3702625910626,0.08574317130275233,284.06226340142049,0.912937628629541,69.99999999999975,0.976441224479506,69.99999999999997,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0003571245948434807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000161564595811069,0.00009187419989146291,0.000060416668467223644,0.00006434686264023183,0.0,0.00047840493528172374,0.0004287462661601603,0.0003035299336630851,0.0006967139450833202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T12:00:00.000+01:00,3.608224830031759e-16,3.0953017926549364e-13,0.025235097255345067,150.72389693393303,0.08747973965548142,284.87712023960139,0.9114887953623458,69.99999999999975,0.9757963677268273,69.99999999999996,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0003271390656052972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013931839779950678,0.000057448859391734,0.000060416668467223644,0.00006799638691358268,0.0,0.0005055383548792452,0.0002680946771614253,0.0002967049986775964,0.0006981716765835881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T12:15:00.000+01:00,3.885780586188048e-16,3.093081346605686e-13,0.025588147896632185,151.07658209156325,0.08897299648672039,285.5540348706475,0.9102515725432644,69.99999999999975,0.9751872830733827,69.99999999999996,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0002884855425822025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012925166658125817,0.00003919965344946831,0.000060416668467223644,0.0000645389397535473,0.0,0.00047983298686333,0.0001829317160975188,0.0002926339728198945,0.000597501868493855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T12:30:00.000+01:00,2.914335439641036e-16,3.1397107136399427e-13,0.025952453708268334,151.39519908486313,0.09026902823293745,286.04322044611919,0.9091902555785496,69.99999999999975,0.9745882624802443,69.99999999999995,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.00025942774341456245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001343471794668585,0.00002804911520797759,0.000060416668467223644,0.00006249993283301591,0.0,0.00046467341367155315,0.0001308958709705621,0.00030388914316892626,0.0004755662340670824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T12:45:00.000+01:00,4.718447854656915e-16,3.2462921240039577e-13,0.02631460428568218,151.70963906352095,0.09137875435368438,286.3583452187321,0.9082837805625439,69.99999999999975,0.9740228607980891,69.99999999999995,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.00022998073408762138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014093403570353982,0.00002242672772496007,0.000060416668467223644,0.00005709213958121835,0.0,0.000424467646451667,0.00010465806271648034,0.0003017339089466259,0.00036014750856906176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T13:00:00.000+01:00,4.0245584642661927e-16,3.19300141882195e-13,0.026696870458546658,151.97258152501633,0.09244563248813899,286.6465316256153,0.9073827947950844,69.99999999999975,0.9734747022582295,69.99999999999995,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.00022642879801860541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015137360024265945,0.00002110751326661557,0.000060416668467223644,0.000053368734568357464,0.0,0.0003967849396169185,0.00009850172857753932,0.00032184950439725067,0.00034574161818251017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T13:15:00.000+01:00,4.440892098500626e-16,2.9309887850104133e-13,0.027121044102922644,152.13967133062116,0.09368943990726538,287.14021588840316,0.9062944149380914,69.99999999999977,0.9728951010517202,69.99999999999996,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.00026062204117224607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017051279686391353,0.000020008154001552608,0.000060416668467223644,0.000055023587262257925,0.0,0.0004090884096454829,0.00009337138534057885,0.00036375697590876365,0.0004958030860126018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T13:30:00.000+01:00,4.440892098500626e-16,2.8954616482224083e-13,0.027556472894834918,152.27821081202519,0.09508446296352009,287.8780940827887,0.9050418289061767,69.99999999999977,0.9723172352354679,69.99999999999996,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.0002860081012760929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001744897594489157,0.000016961392345838245,0.000060416668467223644,0.00005425525910221039,0.0,0.0004033760568033904,0.00007915316428057849,0.00037501212344504887,0.0006667874242737889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01T13:45:00.000+01:00,3.3306690738754698e-16,3.042011087472929e-13,0.028001600297779408,152.3925548589303,0.09665651767254971,288.82602180149686,0.9036152062859786,69.99999999999976,0.971726675743692,69.99999999999996,10.0,70.0,0.0,0.0,0.0,0.0,2.0,0.00031518470499595423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017747248642146585,0.000016820045452332122,0.000060416668467223644,0.00005556141007691621,0.0,0.000413087005354464,0.00007849354544421658,0.0003847107344772666,0.000830620216280222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
